TIME_PERIOD,Net Migration (World Bank),Air Passenger Transport,Population,Employment,Emigration of Citizens,Exports (National Accounts),GDP (Quarterly),Energy Prices,Inflation (HICP Manufacturing),Road Passenger Transport,Industrial Production Index,Retail Trade Turnover,Tourist Overnight Stays,Freight Transport,Unemployment Rate
1960-01-01,11420.0,,2104128.0,,,,,,,,,,,,
1961-01-01,12364.0,,2137830.0,,,,,,,,,,,,
1962-01-01,12344.0,,2167531.0,,,,,,,,,,,,
1963-01-01,12308.0,,2195640.0,,,,,,,,,,,,
1964-01-01,13010.0,,2226198.0,,,,,,,,,,,,
1965-01-01,13218.0,,2255048.0,,,,,,,,,,,,
1966-01-01,13465.0,,2276789.0,,,,,,,,,,,,
1967-01-01,14177.0,,2289645.0,,,,,,,,,,,,
1968-01-01,13465.0,,2312795.0,,,,,,,,,,,,
1969-01-01,13718.0,,2334443.0,,,,,,,,,,,,
1970-01-01,12494.0,,9407612.0,,,,,,,,,,,,
1971-01-01,10846.0,,9465696.0,,,,,,,,,,,,
1972-01-01,11077.0,,9545412.0,,,,,,,,,,,,
1973-01-01,15997.0,,9619980.0,,,,,,,,,,,,
1974-01-01,14420.0,,9706568.0,,,,,,,,,,,,
1975-01-01,12166.0,,9790920.0,,,,,,,,,,,,
1976-01-01,8870.0,,9858116.0,,,,,,,,,,,,
1977-01-01,11992.0,,9909796.0,,,,,,,,,,,,
1978-01-01,7399.0,,9970788.0,,,,,,,,,,,,
1979-01-01,3661.0,,10012580.0,,,,,,,,,,,,
1980-01-01,3099.0,,10035044.0,,,,,,,,,,,,
1981-01-01,6536.0,,10058560.0,,,,,,,,,,,,
1982-01-01,8116.0,,10096808.0,,,,,,,,,,,,
1983-01-01,8115.0,,10151832.0,,,,,,,,,,,,
1984-01-01,8847.0,,10216252.0,,,,,,,,,,,,
1985-01-01,12037.0,,10280120.0,,,,,,,,,,,,
1986-01-01,13972.0,,10350864.0,,,,,,,,,,,,
1987-01-01,19249.0,,10448272.0,,,,,,,,,,,,
1988-01-01,15784.0,,10564388.0,,,,,,,,,,,,
1989-01-01,-4960.0,,10663080.0,,,,,,,,,,,,
1990-01-01,-13196.0,,10672560.0,,,,,,,7224.0,,,,,
1991-01-01,-12020.0,,10632644.0,,,,,,,6699.0,,,,,
1992-01-01,-52180.0,,10572000.0,,,,,,,3609.0,,,,,
1993-01-01,-32914.0,,10342700.0,,,,,,,2428.0,,,,,
1994-01-01,-21446.0,,10163616.0,,,,,,,2467.0,,,,,
1995-01-01,-13288.0,,10002320.0,,,65186.5,503896.586,,,2394.0,,,,,
1995-04-01,,,,,,,535514.484,,,,,,,,
1995-07-01,,,,,,,540137.069,,,,,,,,
1995-10-01,,,,,,,598959.947,,,,,,,,
1996-01-01,-9888.0,,9878124.0,,,82451.5,686612.725,,,2018.0,,,,,
1996-04-01,,,,,,,722570.052,,,,,,,,
1996-07-01,,,,,,,760568.743,,,,,,,,
1996-10-01,,,,,,,831490.3150000001,,,,,,,,
1997-01-01,-9183.0,,9779648.0,,,91059.7,726910.238,,1729.8,2201.0,,,,,
1997-02-01,,,,,,,,,1617.2,,,,,,
1997-03-01,,,,,,,,,1487.2,,,,,,
1997-04-01,,,,,,,813464.316,,1522.0,,,,,,
1997-05-01,,,,,,,,,1500.6,,,,,,
1997-06-01,,,,,,,,,1288.3,,,,,,
1997-07-01,,,,,,,822910.704,,1153.8,,,,,,
1997-08-01,,,,,,,,,1193.0,,,,,,
1997-09-01,,,,,,,,,1001.8,,,,,,
1997-10-01,,,,,,,893250.982,,956.0,,,,,,
1997-11-01,,,,,,,,,907.7,,,,,,
1997-12-01,,,,,,,,,895.8,,,,,,
1998-01-01,-5504.0,,9683156.0,,127882.0,102281.4,840715.406,,801.8,2451.0,,,,,
1998-02-01,,,,,,,,,737.3,,,,,,
1998-03-01,,,,,,,,,714.4,,,,,,
1998-04-01,,,,,,,896278.959,,715.3,,,,,,2455.5
1998-05-01,,,,,,,,,674.8,,,,,,2482.3
1998-06-01,,,,,,,,,734.8,,,,,,2465.3
1998-07-01,,,,,,,895129.826,,691.4,,,,,,2410.9
1998-08-01,,,,,,,,,642.8,,,,,,2362.9
1998-09-01,,,,,,,,,638.7,,,,,,2327.7
1998-10-01,,,,,,,917287.544,,545.8,,,,,,2301.8
1998-11-01,,,,,,,,,531.6,,,,,,2295.3
1998-12-01,,,,,,,,,557.3,,,,,,2303.7
1999-01-01,-3229.0,,9596992.0,,85616.0,96724.8,829703.069,,526.9,2892.0,,,,,2336.4
1999-02-01,,,,,,,,,546.8,,,,,,2355.2
1999-03-01,,,,,,,,,519.6,,,,,,2349.5
1999-04-01,,,,,,,889627.456,,415.3,,,,,,2321.8
1999-05-01,,,,,,,,,457.0,,,,,,2308.9
1999-06-01,,,,,,,,,454.8,,,,,,2307.2
1999-07-01,,,,,,,909692.82,,430.6,,,,,,2317.4
1999-08-01,,,,,,,,,440.9,,,,,,2338.3
1999-09-01,,,,,,,,,494.9,,,,,,2357.0
1999-10-01,,,,,,,967061.092,,512.2,,,,,,2383.4
1999-11-01,,,,,,,,,530.7,,,,,,2400.9
1999-12-01,,,,,,,,,512.3,,,,,,2410.3
2000-01-01,-15679.0,,9526860.0,,184442.0,270275.9,875285.79,,494.5,2745.5,35859.2,7063.17,,,2411.2
2000-02-01,,,,,,,,,517.2,,37095.3,7161.19,,,2399.3
2000-03-01,,,,,,,,,494.0,,39605.9,7600.85,,,2375.9
2000-04-01,,,,,,,950641.312,,544.9,,35946.6,7659.95,,,2345.3
2000-05-01,,,,,,,,,462.40000000000003,,40400.2,7614.26,,,2326.7
2000-06-01,,,,,,,,,352.8,,39736.5,8206.67,,,2316.0
2000-07-01,,,,,,,965515.248,,360.6,,35690.5,8345.32,,,2321.1
2000-08-01,,,,,,,,,323.7,,39827.8,8888.34,,,2325.6
2000-09-01,,,,,,,,,286.09999999999997,,40791.5,8167.48,,,2332.5
2000-10-01,,,,,,,1021683.536,,325.1,,41538.7,8321.98,,,2345.0
2000-11-01,,,,,,,,,299.90000000000003,,41672.1,8471.75,,,2349.4
2000-12-01,,,,,,,,,302.6,,42870.0,10261.43,,,2343.5
2001-01-01,-18634.0,,9413536.0,,196848.0,311785.4,939176.248,,239.1,2225.2,40234.3,8802.39,,,2338.5
2001-02-01,,,,,,,,,149.9,,40533.2,8740.6,,,2308.7
2001-03-01,,,,,,,,,198.5,,48265.0,9484.8,,,2263.5
2001-04-01,,,,,,,1037923.035,,178.2,,41249.1,9353.41,,,2197.1
2001-05-01,,,,,,,,,294.8,,45191.3,9525.71,,,2163.0
2001-06-01,,,,,,,,,355.5,,43753.1,9347.24,,,2144.4
2001-07-01,,,,,,,1031402.032,,366.4,,44193.6,9249.46,,,2146.0
2001-08-01,,,,,,,,,339.8,,44961.9,9421.04,,,2146.0
2001-09-01,,,,,,,,,387.6,,931721.7,9010.69,,,2150.0
2001-10-01,,,,,,,1138280.971,,347.8,,46461.7,9357.86,,,2316.5
2001-11-01,,,,,,,,,318.5,,3202374.8,9300.86,,,2250.8
2001-12-01,,,,,,,,,323.7,,43510.8,9770.17,,,2147.9
2002-01-01,-9160.0,,9283824.0,,126910.0,327077.6,990307.63,,365.4,25415.6,43020.3,9031.8,,,2029.9
2002-02-01,,,,,,,,,372.3,,39252.3,8479.11,,,2005.6
